路口代号,经度(lon),纬度(lat)
demo_1,116.102265,39.004651
demo_2,116.126756,38.991150
demo_3,116.074049,38.981845
demo_4,116.125562,38.985824
demo_5,116.090679,38.992321
demo_6,116.090112,38.983681
demo_7,116.175968,39.038123
demo_8,116.117896,39.019992
demo_9,116.099512,38.984029
demo_10,116.146774,39.019003
demo_11,115.840476,39.069596
demo_12,115.840840,39.061201
demo_13,115.904606,39.073391
demo_14,115.919711,39.049860
demo_15,115.921381,39.049809
demo_16,115.943817,39.060829
demo_17,115.910020,39.060218
demo_18,115.916535,39.069129
demo_19,115.917138,39.051524
demo_20,115.906918,39.066234